month,symbol,signal,vol,carry,rank,weight
2024-06,ZL,-0.04987469,0.24008683,-0.07560263,4.0,-0.0703125
2024-07,ZL,-0.05981607,0.22296042,0.01125231,3.0,-0.0859375
2024-08,ZL,-0.02603503,0.22544915,0.16779033,3.0,-0.0859375
2024-09,ZL,-0.04691819,0.22682136,0.02804658,3.0,-0.0859375
2024-10,ZL,-0.03607873,0.22387417,0.01771388,3.0,-0.0859375
2024-11,ZL,-0.02978347,0.11136539,-0.03560478,3.0,-0.0859375
2024-12,ZL,-0.03365787,0.15593686,-0.08960958,4.0,-0.0703125
2025-01,ZL,-0.02805605,0.1507817,-0.05300605,4.0,-0.0703125
2025-02,ZL,-0.03166243,0.24604892,-0.08061151,3.0,-0.0859375
2025-03,ZL,-0.03243416,0.26781781,-0.06632439,2.0,-0.1015625
2025-04,ZL,-0.02346388,0.26353122,-0.04787734,2.0,-0.1015625
2025-05,ZL,-0.03291526,0.2847313,-0.0551511,2.0,-0.1015625
2025-06,ZL,-0.02976191,0.24083852,-0.03137157,2.0,-0.1015625
2025-07,ZL,-0.01962888,0.2502382,0.07044487,4.0,-0.0703125
2025-08,ZL,-0.03032182,0.20884331,-0.05089151,2.0,-0.1015625
2025-09,ZL,-0.01992571,0.25637849,-0.07804537,3.0,-0.0859375
2025-10,ZL,-0.02186446,0.29246242,-0.08831946,1.0,-0.1171875
2025-11,ZL,-0.01480071,0.2731199,-0.06183954,2.0,-0.1015625
2025-12,ZL,-0.00613079,0.28789977,-0.06386752,3.0,-0.0859375
2026-01,ZL,-0.0044418,0.2296367,-0.06024262,3.0,-0.0859375
2026-02,ZL,0.00129914,0.23825166,-0.05358218,4.0,-0.0703125
2026-03,ZL,0.00299064,0.27787629,0.0,3.0,-0.0859375
2026-04,ZL,0.02403292,0.29715077,0.14444203,6.0,-0.0390625
2026-05,ZL,0.02144211,0.26648768,0.24973408,5.0,-0.0546875
2026-06,ZL,-0.00461474,0.27522423,-0.03349488,4.0,-0.0703125
2026-07,ZL,-0.01536177,0.39600345,-0.02455003,3.0,-0.0859375
2011-05,ZM,0.02664142,0.19873881,-0.03186325,11.0,0.05357143
2011-06,ZM,0.01814079,0.19872743,-0.08690031,9.0,0.01785714
2011-07,ZM,-0.00534497,0.17367343,-0.0502529,2.0,-0.10714286
2011-08,ZM,-0.01915396,0.18879966,-0.06059606,2.0,-0.10714286
2011-09,ZM,0.00218605,0.18884711,-0.07615315,4.0,-0.07142857
2011-10,ZM,0.00682345,0.36242219,-0.0729619,9.0,0.01785714
2011-11,ZM,0.00868273,0.38017482,-0.07523196,8.0,0.0
2011-12,ZM,-0.00027828,0.38539713,-0.07117998,3.0,-0.08928571
2012-01,ZM,0.01635457,0.40481407,-0.03738823,8.0,0.0
2012-02,ZM,0.02627066,0.40818549,-0.02891384,11.0,0.05357143
2012-03,ZM,0.02756674,0.42400546,-0.01564107,9.0,0.01785714
2012-04,ZM,0.0308194,0.22876947,-0.01679698,10.0,0.03571429
2012-05,ZM,0.04732246,0.24865018,0.36154167,12.0,0.07142857
